complaint_id,customer_id,order_id,complaint_type,channel,severity,created_at,status,resolution_days,compensation_amount
CP0001,C0464,O00814,AppIssue,App,High,30/03/2025 2:36,Open,11,23.99
CP0002,C0056,O00628,MissedPickup,Phone,Medium,07/11/2024 10:05,Open,4,21.64
CP0003,C0469,O00384,Delay,Chatbot,High,02/01/2024 15:47,Open,16,26.41
CP0004,C0631,O00406,Delay,App,Medium,14/01/2025 13:07,AwaitingCustomer,7,23.44
CP0005,C0535,O00154,Delay,Email,Medium,31/08/2024 5:56,Resolved,1,16.18
CP0006,C0096,O00147,Delay,App,Medium,22/07/2024 7:43,Resolved,9,18.51
CP0007,C0597,O00981,MissedPickup,App,Medium,15/01/2025 21:57,Escalated,4,14.14
CP0008,C0309,O00902,AppIssue,Email,High,26/09/2024 19:41,Resolved,18,18.405
CP0009,C0340,O00011,Delay,App,Low,16/08/2025 4:19,Resolved,4,26.35
CP0010,C0486,O00417,DriverBehaviour,Phone,Medium,13/01/2025 15:33,Open,1,6.32
CP0011,C0618,O00437,Delay,App,Medium,29/09/2025 6:54,Open,15,19.97
CP0012,C0362,O00504,AppIssue,Email,High,20/09/2024 22:57,Resolved,12,33.8
CP0013,C0157,O00008,MissedPickup,Phone,Medium,08/04/2024 17:54,Resolved,8,15.77
CP0014,C0545,O00980,Billing,Chatbot,Medium,30/11/2024 23:02,Resolved,14,7.08
CP0015,C0486,O00417,Delay,Chatbot,Low,18/01/2025 15:33,Open,4,0
CP0016,C0234,O00013,MissedPickup,App,Medium,30/03/2024 22:11,Resolved,10,0
CP0017,C0346,O01181,Delay,Phone,Medium,06/03/2024 23:10,Resolved,1,1.16
CP0018,C0100,O01151,MissedPickup,Chatbot,Medium,05/07/2024 12:48,Resolved,1,9.39
CP0019,C0228,O00702,AppIssue,App,Medium,07/01/2025 19:23,Resolved,1,19.24
CP0020,C0371,O01043,DriverBehaviour,Phone,High,04/08/2024 17:26,Resolved,11,33.27
CP0021,C0354,O00353,Delay,Chatbot,Medium,09/01/2024 5:14,Resolved,5,26.95
CP0022,C0516,O00117,Damage,Chatbot,Low,18/06/2024 9:38,AwaitingCustomer,10,15.62
CP0023,C0193,O00953,DriverBehaviour,App,Low,03/04/2025 1:07,Resolved,14,0.93
CP0024,C0519,O00677,AppIssue,Chatbot,Medium,11/03/2024 5:19,Escalated,9,18.405
CP0025,C0617,O00654,Delay,App,Medium,19/06/2025 21:03,Resolved,4,11.64
CP0026,C0408,O00810,SupportExperience,App,Medium,16/04/2024 3:37,Resolved,13,18.44
CP0027,C0626,O00948,Delay,Email,Low,19/05/2025 3:07,Resolved,1,2.18
CP0028,C0242,O00920,Delay,Phone,Medium,02/08/2024 11:42,Resolved,1,13.31
CP0029,C0477,O00715,MissedPickup,Chatbot,Medium,27/06/2025 13:42,Resolved,9,4.01
CP0030,C0529,O00682,Delay,Email,High,07/10/2024 9:57,Escalated,22,34.84
CP0031,C0618,O00886,Billing,Phone,Medium,11/12/2024 11:04,Escalated,2,30.35
CP0032,C0185,O00051,Billing,Phone,Medium,14/02/2025 23:39,Resolved,7,7.09
CP0033,C0489,O00848,MissedPickup,App,Medium,13/06/2025 14:13,Resolved,8,34.92
CP0034,C0070,O00105,DriverBehaviour,App,Medium,13/07/2024 20:33,AwaitingCustomer,1,4.09
CP0035,C0206,O00650,Delay,Email,Low,03/10/2025 10:28,Resolved,5,0
CP0036,C0282,O00751,Delay,App,Medium,08/07/2024 0:51,AwaitingCustomer,2,42.3
CP0037,C0561,O00270,MissedPickup,Chatbot,Medium,05/11/2025 15:25,AwaitingCustomer,18,7.33
CP0038,C0562,O00175,Delay,Chatbot,Medium,19/12/2025 19:13,Resolved,1,19.48
CP0039,C0231,O00797,Delay,Email,High,28/03/2025 4:08,Resolved,14,24.39
CP0040,C0512,O00300,Delay,Email,High,11/04/2024 0:39,Resolved,9,18.405
CP0041,C0146,O00744,MissedPickup,Chatbot,Medium,27/04/2025 3:30,Open,9,30.4
CP0042,C0361,O00094,SupportExperience,Email,Medium,06/10/2024 3:41,Resolved,4,26.2
CP0043,C0497,O00411,AppIssue,App,Medium,16/04/2025 21:05,Resolved,11,15.35
CP0044,C0549,O00838,MissedPickup,Email,High,28/01/2025 0:04,Resolved,11,25
CP0045,C0599,O00421,DriverBehaviour,Email,Medium,24/07/2025 6:00,AwaitingCustomer,6,8.74
CP0046,C0269,O00573,MissedPickup,Email,High,27/04/2024 9:36,Resolved,9,60.3
CP0047,C0012,O01157,AppIssue,Phone,Medium,09/07/2024 19:51,Resolved,11,19.21
CP0048,C0393,O00576,MissedPickup,Phone,High,14/09/2024 19:49,Resolved,22,22.5
CP0049,C0146,O00126,DriverBehaviour,Email,Medium,27/05/2024 9:04,Resolved,4,19.76
CP0050,C0163,O00955,DriverBehaviour,Phone,High,11/01/2025 14:30,Resolved,14,37.36
CP0051,C0274,O00863,AppIssue,Phone,Medium,22/09/2025 18:41,Resolved,2,3.9
CP0052,C0157,O00115,SupportExperience,App,Low,25/02/2024 6:31,Escalated,3,0
CP0053,C0543,O01236,SupportExperience,Phone,High,29/05/2025 22:57,Resolved,13,26.07
CP0054,C0224,O00453,Delay,App,Medium,07/12/2024 12:49,Resolved,1,36.38
CP0055,C0186,O00836,MissedPickup,Chatbot,High,23/09/2025 16:20,Resolved,14,60.3
CP0056,C0368,O00737,Delay,Email,Low,20/03/2024 3:53,Open,9,7.02
CP0057,C0191,O00125,Delay,App,Medium,23/09/2025 16:27,Resolved,5,24.91
CP0058,C0271,O00056,SupportExperience,App,Medium,09/10/2025 20:28,Escalated,1,10.06
CP0059,C0351,O00603,Delay,Email,High,04/03/2024 23:29,Resolved,11,59.75
CP0060,C0490,O00869,MissedPickup,App,Low,05/03/2024 5:39,Resolved,4,0
CP0061,C0545,O00980,DriverBehaviour,Phone,Medium,07/12/2024 23:02,AwaitingCustomer,11,52.16
CP0062,C0162,O00367,Delay,Email,Low,16/07/2025 9:35,Resolved,14,0
CP0063,C0164,O01219,Billing,App,High,28/06/2025 9:52,Escalated,10,51.86
CP0064,C0215,O00311,AppIssue,Chatbot,High,30/11/2024 0:06,Resolved,5,47.81
CP0065,C0162,O00367,AppIssue,Email,Low,23/07/2025 9:35,Resolved,5,18.74
CP0066,C0552,O00741,AppIssue,Email,Medium,11/06/2025 1:28,Resolved,10,25.09
CP0067,C0599,O00954,MissedPickup,App,Low,22/07/2024 2:17,Resolved,6,0
